-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         3.46%      30.618ms         5.71%      50.508ms      27.555us     408.760ms        40.08%     408.760ms     223.000us           0 b           0 b     840.04 Mb     840.04 Mb          1833  
                                    swiglu_fused_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     241.163ms        23.64%     241.163ms     662.537us           0 b           0 b           0 b           0 b           364  
                                     linear_kernel_tf32         0.00%       0.000us         0.00%       0.000us       0.000us     219.089ms        21.48%     219.089ms       1.129ms           0 b           0 b           0 b           0 b           194  
void cutlass::Kernel<cutlass_80_simt_sgemm_256x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us     138.914ms        13.62%     138.914ms     708.746us           0 b           0 b           0 b           0 b           196  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us     134.400ms        13.18%     134.400ms     184.615us           0 b           0 b           0 b           0 b           728  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us      67.421ms         6.61%      67.421ms     109.450us           0 b           0 b           0 b           0 b           616  
                             flash_attention_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      60.309ms         5.91%      60.309ms     152.296us           0 b           0 b           0 b           0 b           396  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      33.968ms         3.33%      33.968ms       4.853ms           0 b           0 b           0 b           0 b             7  
                                            aten::copy_         1.22%      10.787ms         2.72%      24.067ms       9.109us      22.525ms         2.21%      22.525ms       8.526us           0 b           0 b           0 b           0 b          2642  
